,url,title,company_name,loc,details
0,https://sa.jooble.org/desc/-4292810981053073923,Internship Program,,Eastern Province,"<h2> Job Description  </h2> <p><p></p><p> We are looking for an ambitious Fresh graduate to enhance the skills she/he developed through her/his academic studies, where she/he can gain valuable first-hand experience, ongoing training, and career growth. Wa`ed has different functions where the ambitious graduate can have their first on hand experience (Venture Capital, Loan, Incubation, IT, Finance, Accounting, Law, Procurement, HR and Public Relation)</p><p></p>"
1,https://sa.jooble.org/desc/-7052523589385402691,Engineering internship in Sweden!,Iknal Semikan,Riyadh,"<h2><b> Work in Sweden </b><p> Can you imagine working and gaining experience in one of the best countries to live, where ideas and technological developments flow? This is the opportunity to develop your talent on an internship in Sweden. You can start working remotely for the first three months, but then <b> we expect you to move to work and live in Sweden </b> . </p><p></p><h2><b> About the Role </b></h2><p> If you are passionate and creative, recently graduated, or are in the last semester of engineering, you can do an internship in Sweden!</p><p> As an intern, you will work with the industry&#39;s best engineers. Your design, code, and raw intelligence will help solve complex technical challenges in embedded systems, power electronics, AI, automation, software development, testing and verification, to name a few, within the MedTech, Mechanics, Automotive, Aerospace and IT and Digital Solutions industries. </p><p> Join and design your future!</p><p></p><h2><b> Requirements </b></h2><p> Allow yourself to exceed your limits and bring with you:	</p><ul><li> Currently enrolled in a Bachelor&#39;s or recently completed from an accredited engineering University programme related to MedTech, Mechanics, Automotive, Aerospace and IT and Digital Solutions industries. </li><li> Desirable knowledge of languages such as Java, C/C++ or Python. </li><li> Desirable knowledge of fundamentals like product-oriented design, algorithm design, data structures, and complexity analysis. </li><li> Ability to effectively structure technical challenges and solutions. </li><li> Outstanding creativity, solid team-based culture, and good communication skills. </li><li> Willing to learn from others, self-motivated to perform simple or complex tasks. </li><li> Proficient in written and verbal communication in English. </li><li> Be able to work with the well-known fika brakes. </li></ul><p></p><h2><b> About the Company </b></h2><p> We are offering more than just an internship. We help you to build a new exciting experience in one of the world&#39;s most innovative and technologically developed countries.&#160;</p><p> Our client has more than 30 years of experience, dedicated to developing digital products and solutions for startups and global groups within the MedTech, Automotive, Aerospace and IT and Digital Solutions industries, with the desire to make our world a better and more sustainable place for all. </p><p></p><p> Do you feel ready to become part of an experienced and innovative company with reliable performance in the real world? Do you want to make a difference for real and challenge yourself? This is your opportunity to gain professional experience in a constantly innovating company and country and do your part to improve the world. </p><p></p></h2>"
2,https://sa.jooble.org/desc/-550675671923967780,General Internship Opportunity,,Khobar,<h2> Job Description  </h2> <p><p></p><p>3 months Internship opportunity for Bachelor students who are expected to graduate during 2023. </p><p></p>
3,https://sa.jooble.org/desc/4481461722470837168,COOP Internship (STEM),GENERAL ELECTRIC GE Gas Power,Eastern Province,"<h2><b> Job Description Summary </b></h2> Job Description Summary <br> GE Gas Power <br> Welcome to tomorrow&#39;s energy—today!<p></p> Access to affordable, reliable, flexible, and sustainable power is fundamental to modern life. As the world is shifting towards a lower carbon future, GE Gas Power is ready to be your partner in leveraging the role of natural gas for powering the world today and tomorrow. GE’s foundations were laid by Thomas Edison nearly 130 years ago to provide innovative solutions for a wide range of critical problems around the world. GE’s deep-rooted culture serves as the backbone for every step we’ve taken at GE Gas Power. With more than 300,000 employees and operations in over 170 countries, GE employees reflect both the local communities we serve and the people with whom we do business. <p></p> Diversity at GE <br> We believe diversity makes us more competitive and creates value for our customers, shareholders, and employees. We believe in the value of each person’s unique identity, background, and experiences and are committed to fostering an inclusive culture, where everyone feels empowered to do their best work because they feel accepted, respected, and that they belong. By embracing diverse teams and perspectives, we are better equipped to build a world that works. <p></p> Our approach to diversity will be based on the following objectives: <br>•	Our employees – to continue to strive to ensure that our workforce is as diverse as the communities we serve, while always upholding the importance of merit. <br>•	Our workplace – to foster an inclusive culture that recognizes employees’ unique needs, helps them reach their full potential, and nurtures their diverse talents. <br>•	Our community – to strive for diversity in suppliers and partners and engage with the communities in which we operate to support diversity. <p></p> Summary: <p></p> The GE Internship Program is an investment in young talents where GE trains students who meet the required criteria to perform their internship program in Repair shop activities. Program duration is up to 28 weeks. (up to 7 months) The program will develop the general skills of the intern with on the job knowledge and experience. <p></p><h2><b> Job Description </b></h2><p><b> Essential Responsibilities </b></p><p></p><p> During the program GE will provide assignments, projects &amp; tasks that is related to his/her major where he/ she can develop Leadership Capabilities, communication skills and introduce him/her to the work environment. </p><p></p><p><b> Material Engineer </b></p><p></p><p> Assist in the development and implementation of the Economic Order Quantity (EOQ) and Vendor Management Inventory (VMI) to reduce GEMTEC inventory. </p><p> Responsible for material scheduling for components and plastics and main contact to track raw material readiness, updating database, editing routines documents, procurement follow up and expediting management. </p><p> Indirectly manage the store team. </p><p> Responsible about the lean projects in the department such as GR process and material withdrawal, physically and to automate the system </p><p> Systemize grinders repair and implement preventive maintenance on them </p><p></p><p><b> Quality Engineer </b></p><p> Leading quality activities to enhance the culture </p><p> Managing the quality newsletter </p><p> Implement the visual aid at inspection station with standardization </p><p> Improve the job folder archiving process </p><p> Analyze data and lead Q improvement projects </p><p> Validate and audit process implementation as part of Q walk and workstation audit </p><p></p><p> Continues Improvement Engineer </p><p> Develop lean lines </p><p> Using lean tools Time Study , analyze process waste, areas to improve Perform Root cause analysis (Use tools like 8D, 5Why, Fish bone etc.)</p><p> Support lean leader to analyze / gather data from various component using SAP, Tableau etc. </p><p></p><p><b> Site IT </b></p><p> Owns wing-to-wing execution of technical projects to deliver high quality outcomes to internal and external customers. Partners with functional product owner to define features backlog and requirements, works with technical team internal and external to the initiative to ensure outcomes delivery on time, within scope and budget and of desired quality. Makes sure project management practices are followed and improved as needed.&#160; Manages expectations and timelines to keep customers informed, working across teams in a regularly way. </p><p> Work cross-functionally to manage factory priorities, issues and translating the demand, through Lean / Kanban principles, to features and functions that need to be delivered across the IT matrix and IT platforms to improve factory performance. Including, but not limited to IT/OT infrastructure, shop floor support, operations technology, MES, ERP, quality tools, and materials/warehouse mgmt. </p><p> Ensures business critical information is cascaded to the team in a timely manner. </p><p> Participate in Lean Action workouts to ensure that physical changes to material flow is represented in the supporting systems and that new capabilities are developed in concert with the Lean transformation. </p><p> Act as a first line internal customer to ensure that global and local priorities are considered when ‘catching’  products/programs/projects  delivered or led by external IT teams </p><p> As a partner to Application owners, vendors, and AppOps leaders, ensure that the tools that ‘run’ the manufacturing plant are effectively supported, including but not limited to: </p><p>- Daily trouble-shooting of critical issues </p><p>- Collaborate with the regional deployment leader to drive the provisioning and operationalization of hardware, IT/OT changes, new 3rd party software. </p><p></p><p><b> Operations </b></p><p> Leading LEAN initiatives across the cell. </p><p> Job Cost Review – Hours data analysis, Leading Continuous Improvement projects, Time study and Kaizan projects implementation. </p><p> Supporting Engineering Team on Work Instructions, preparing Visual Aids, quality form and Supporting Engineering projects. </p><p> Leading 5S initiatives. </p><p> Supporting First Pass Yield (FPY) from cell , collecting/analyzing operator performance. </p><p> Cell utilization review. </p><p> Lean line supporting projects. </p><p> Quality forms improvements. </p><p> Drive and execute VCP projects by working closely with ME’s and RTOCE engineers </p><p> Tracking and maintaining productivity initiatives. </p><p> Lean Line – Data analysis for both S1N and Shrouds. </p><p> Build Bowler data / update the progress on daily basis </p><p> Perform Kaizen projects </p><p> Lead Supermarket consumables projects. </p><p> Perform detail 5Whys for S1N /Shrouds underperformance . </p><p></p><p><b> Qualifications/Requirements </b> : </p><p>&#183; Students in Engineering – Industrial, Production, Mechanical, or Electrical , &quot;STEM major ( Science , Technology , Engineering and Math) or related engineering back ground </p><p>&#183; Program duration is up to 28 weeks (up to 6 months). </p><p>&#183; Active listener with good communication skills in English. </p><p>&#183; Strong Proficiency in Microsoft Office applications. </p><p>&#183; Proactive with high level of integrity. </p><p>&#183; Strives to achieve Project goals and Customer satisfaction. </p><p>&#183;&#160; A team player with the ability to communicate effectively with crosses functional teams. </p><p>&#183; Displays willingness to work in harsh environments on as needed basis </p><p></p><p><b> Desired Characteristics: </b></p><p>•&#160; Demonstrated EHS and Quality focus. </p><p>• Demonstrated leadership potential </p><p>•&#160; Record of achievement with a passion to achieve positive business results </p><p>•&#160; Curiosity and desire to learn and expand skill set </p><p>•&#160; Adaptable and open to change </p>"
4,https://sa.jooble.org/jdp/2510033160622303711/Internship%2C-Islamic-Development-Bank-Jeddah,"Internship, Islamic Development Bank",,Jeddah,"<p><h2>Department:</h2><p simplifier=""block"">IsDB has a variety of opportunities that will provide you with a unique experience and challenge working in the development banking. An internship&#160;with IsDB is an excellent way to gain practical work experience, learn about your prospective career, and network with&#160;professionals from all over the world. Most&#160;importantly the&#160;IsDB internship&#160;gives you the opportunity to help others achieve acceptable standards of living and social conditions.</p><p simplifier=""block"">The purpose of the IsDB Internship is to provide students from colleges, universities and similar academic institutions with the opportunity to engage in an active learning environment and obtain practical experience to complement their academic learning.&#160;</p><h2>Eligibility:</h2><p simplifier=""block""><em simplifier=""inline"">For Internship, the applicant should:</em></p><p><p simplifier=""block"">Be a full-time Bachelors or Masters student from an accredited university/college.</p></p><p><p simplifier=""block"">A Minimum grade average:</p></p><p><p simplifier=""block"">B+ according to the American academic system or 3 out of 4 GPA.</p></p><p><p simplifier=""block"">Good according to the Arabic education system.</p></p><p><p simplifier=""block"">Lower Second Class Honours according to the British system.</p></p><p><p simplifier=""block"">Assez Bien according to the French system.</p></p><p><p simplifier=""block"">Have an official request from the university/college specifying the need for internship and endorsed by the university registrar/ graduate council.</p></p><p><p simplifier=""block"">Have good command of the English language (written and verbal).Have no previous internship at IsDB and its affiliates.</p></p><p simplifier=""block""><em simplifier=""inline"">For Co-Op, the applicant should:&#160;</em></p><p><p simplifier=""block"">Be a full-time a Bachelors or Masters student from an accredited university/college.</p></p><p><p simplifier=""block"">A Minimum grade average:</p></p><p><p simplifier=""block"">B+ according to the American academic system or 3 out of 4 grades.</p></p><p><p simplifier=""block"">Good according to the Arabic education system.</p></p><p><p simplifier=""block"">Lower Second Class Honours according to the British system.</p></p><p><p simplifier=""block"">Assez Bien according to the French system.</p></p><p><p simplifier=""block"">Have an official request from the University specifying the need for the Co-Op.</p></p><p><p simplifier=""block"">Have good command of the English language (written and verbal).</p></p><p><p simplifier=""block"">Be able to conduct a 10-15 minute presentation about their experience at IsDB and what they have learned.&#160;</p></p><p><p simplifier=""block"">Have no previous Co-Op experience at IsDB and its affiliates.</p></p><p simplifier=""block"">The Program accepts both local and international applicants.</p><p><p simplifier=""block""><b>Local Applicants:</b> They are the applicants who hold national id or residence permit of the host country. </p></p><p><p simplifier=""block""><b>International Applicants:</b> They are the applicants who are pursuing their studies outside the host country and hold a residence permit or do <b>not require a visa</b> to the host country. Travel/Transportation, housing, medical&#160;and accommodation not provided.</p></p><h2>Program Duration:</h2><p simplifier=""block""><b>Internship: </b>A learning opportunity provided to full-time Bachelor and post-grad students with a maximum of 3 (three) months.</p></p><p>Follow the links below to visit the original job announcement and details. Ensure you follow the specified instructions, keeping note of the deadline.&#160;You can also tap the second button to learn more about this organisation and its mission. These links will take you to the employer/hiring organisation&#39;s website.&#160;Please be sure to indicate that you saw this position via WIAN.</p>"
5,https://sa.jooble.org/desc/-1242829326543898720,Internship Officer,Zara Services,Riyadh,"<p>Internship

Job Summary

We are Hiring Now! Are you an young talented Student? Become a Paid Marketing Intern!

<b>Description:</b>

12th std students of CBSE, HSC, ICSE, ISE, UK or Pakistan Board.

Duration of Internship: 3 to 6 months (Extendable up to 12 months)

Internship Certificate will be provided.

Fixed monthly stipend will be provided during internship term. Additional income of attractive incentives for best performers.

Chance to win the LACC Leadership Award.

Interested candidates should send their cvs
</p>"
6,https://sa.jooble.org/desc/8032481837954110330,Business Development internship,Yomn,Jeddah,<ul><li> Partially leading the business development cycle from qualification of leads &amp; opportunities to reporting to senior management </li><li> Researching business opportunities and providing information on new markets or solutions to top management. </li><li> Identifying potential leads by researching multiple industries and competition. </li><li> Participating in networking activities with other businesses to promote solutions and services. </li><li> Providing support to internal teams by answering questions about solutions and services offered by the company. </li><li> Conducting market research to identify new opportunities for growth in the local market or regional. </li></ul>
7,https://sa.jooble.org/desc/6098295250947761345,UX/UI Internship,Resal,Jeddah,"<p> Are &#160; you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! This internship is designed to enable undergraduates and fresh graduates to gain hands-on work experience as the foundation of their professional lives. <br></p><p><b> We are looking for:&#160;</b><br></p><p> UX/UI Intern that is able to conduct UX research and analyze the data, identifying consumer behaviors and trends. They make recommendations and provide strategies and enhancements based on their research to provide a simpler, easier user experience to the customer. UX/UI Intern will also be designing product features depending on the provider research or product requirements. <br></p><p><b> Responsibilities:&#160;</b><br></p><p>1- Conduct UX research and collects customer feedback. 2- Evaluates product designs and forecasts performance. 3- Provides recommendations on product strategies and enhancements. 4- Generates reports and presentations on results findings and convince the team to work on it. 5- Monitors &amp; analyze customer behavior. 6- Analyzes market data, trends, and behaviors. </p><h3> Requirements </h3><ul><li> Saudi Nationals </li><li> Good interpersonal skills to persuade, influence and adapt communication style to different situations and individuals. </li><li> Fluency in English &amp; Arabic. </li><li> Able to learn on the job in a rapidly changing environment. </li><li> Love working in a multicultural and diverse environment. </li><li> Bachelor’s degree in Graphic Design, Arts, Marketing or related field </li><li> Program length: 12 weeks </li><li> Selection Process: Candidates meeting our requirements will be enrolled in several selection activities, to help us fairly and objectively find the Best of The Best!</li><li> Employment Opportunity: At the end of this program, interns who will position themselves as vital members of the team will be given the chance to continue their career journey with us. <p></p></li></ul><h3> Benefits </h3><ul><li><b> Responsibilities as of Day 1&#160;</b>– you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities <br></li><li><b> Recognized business skills </b>&#160;–&#160; you get to test your business knowledge and management abilities in real-life situations and obtain insights into the world of consumer &amp; business management. <br></li><li><b> Continuous coaching &amp; mentoring </b>–&#160; you will work with hardworking people and receive both formal training as well as day-to-day mentoring from your manager, likely a team leader. <br></li><li><b> Dynamic and encouraging work environment </b>&#160;–&#160; employees are at the core; we value every individual and encourage initiatives promoting agility and work/life balance. <br></li></ul>"
8,https://sa.jooble.org/desc/-4704086252723082053,2023 Program Manager - MBA Internship,"Amazon.com, Inc",Riyadh,"<h3> DESCRIPTION </h3> We’re on the lookout for the curious, those who think big and want to define the world of tomorrow. At Amazon, you will grow into the high impact, visionary person you know you’re ready to be. Every day will be filled with exciting new challenges, developing new skills, and achieving personal growth. <p></p> How often can you say that your work changes the world? At Amazon, you’ll say it often. Join us and define tomorrow. <p></p>• At Amazon, you will define your goals, exceed them, and set new ones. <br>• If you’re insatiably curious and always want to learn more, then you’ve come to the right place. <br>• We continuously grow and improve. <br>• We want to you to feel welcomed, included and valued right from the start. We know that your experiences will help us build a better world. <br>• Though we&#39;re a global company comprised of diverse individuals, we unite around our pursuit of to deliver on behalf of our customers. <br>• Our primary purpose is to make our customers’ lives easier. Your work will contribute to that purpose. Here, your voice and ideas can produce the breakthroughs. <br>• We think ahead and put long-term value over short-term wins. We believe in investing in your future. <br>• We want you to be the best version of yourself – to continuously evolve and improve. <br>• With us, you’ll get good at making fast decisions, taking calculated risks and fearlessly chasing excellence. <br>• We make the impossible, possible. <br>• We aim for the ultimate simplicity to make customers’ lives easier. That’s why we need people who are innovators and disruptors. People who dive deep and think big. <p></p> Key job responsibilities <br><ul><li> Lead programs throughout all phases of the project lifecycle, effectively managing scope, schedule and budget and stakeholder communications </li><li> Collaborate and partner with business teams to define and solve problems that impact customers </li><li> Identify causes of business related problems and implement novel approaches related to forecasting and prediction </li><li> Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations </li><li> Use project management tools and technology to track progress and provide regular reporting to management and other stakeholders </li></ul> About the team <br> If you’re insatiably curious and always want to learn more, then you’ve come to the right place. Depending on your location, country, job status and other requirements, some or all of the following benefits may be available to you as an intern. <p></p>• Competitive pay <br>• Impactful project and internship/role deliverables <br>• Hybrid working (team dependent)<br>• Networking opportunities with fellow interns <br>• Internships events such as speaker series, intern panels, Leadership Principles sessions, Amazon writing skills sessions. <br>• Mentorship and career development <p></p> If you’re successful during your internship, you could be considered for a graduate role after finishing your university studies <p></p> Internship start dates vary throughout the year(2023). <br> Internship length can vary between (3 months to 6 months)<h3> BASIC QUALIFICATIONS </h3><ul><li> In final year of study for a MBA or Master’s degree, or graduated in the last six months </li><li>3+ years of full-time industry work experience </li><li> Fluent written and verbal communication in English </li></ul>"
9,https://sa.jooble.org/desc/4859080738878399982,Mars Internship Experience,Mars,Jeddah,"<p> Are you dreaming about getting first-hand experience of working in the one of the biggest FMCG Companies in the world? Do you have aspiration to do digital Transformations and drive data led solutions to the business problems? The Mars Internship Experience (MIE) - is a great start. At Mars you’ll grow beyond your current aspirations and develop the whole you! </p> <p> </p> <p><b> How the program works?</b><br> We have multiple positions across sales, marketing, finance, Manufacturing- Engineering, Commercial, and Supply chain, which will be for a duration of 6months.  You will be mentored by Line Managers and interacting with Senior leaders who will help you develop on personal and functional development.  </p> <p><b> What will you get?</b><br> We have an ongoing commitment to your growth and development. You will get - Regular catch ups with your mentor Support from an amazing community of graduate from Senior Leaders of our Saudi Business, valuable trainings, competitive salary and opportunities to meet with some of Mars most senior leaders.  </p> <p><b> What are we looking for?</b> </p> <p> Graduates who are passing out from Campus this year December or early next year. We are open to Graduates and Postgraduates. Our internships are around driving digital transformations and data led solutions. Anyone who is interested in project management, have the interest and skillset to provide creative ideas and solutions for the transformation can apply.  </p> <p><b> What does the future hold?&#160;</b><br> This program is set for you to Manage project independently. These projects are directly linked to our Organization real needs and we want the recommendations and results of your work developed during the internship, to have an impact on the functioning and results of our business.  </p> <p><b> Could YOU be our future mars Intern? </b><br> You have high ambition and want to become a leader. You have good leadership skills and a strong interest in positions across sales, marketing, finance, Manufacturing- Engineering, Commercial, and Supply chain. You are not afraid to challenge the status quo and bring a fresh viewpoint. You want to grow as a person. You are adaptable and like to Join our family owned business as an Intern and shape a more prosperous future - for your community, for the planet and for yourself. From the moment you come aboard you&#39;ll find endless opportunities to pursue your passions, take on new challenges and explore our diverse business. <br> </p> <p><b> Internship Locations: </b> </p> <p> Jeddah and King Abdullah Economic City </p>"
