id,title,company_name,loc,details,url
1,internship program,,eastern province,"job description    we are looking for an ambitious fresh graduate to enhance the skills she/he developed through her/his academic studies, where she/he can gain valuable first-hand experience, ongoing training, and career growth. wa`ed has different functions where the ambitious graduate can have their first on hand experience (venture capital, loan, incubation, it, finance, accounting, law, procurement, hr and public relation)",https://sa.jooble.org/desc/-4292810981053073923
2,engineering internship in sweden!,iknal semikan,riyadh,"work in sweden  can you imagine working and gaining experience in one of the best countries to live, where ideas and technological developments flow? this is the opportunity to develop your talent on an internship in sweden. you can start working remotely for the first three months, but then  we expect you to move to work and live in sweden  .  about the role  if you are passionate and creative, recently graduated, or are in the last semester of engineering, you can do an internship in sweden! as an intern, you will work with the industry&#39;s best engineers. your design, code, and raw intelligence will help solve complex technical challenges in embedded systems, power electronics, ai, automation, software development, testing and verification, to name a few, within the medtech, mechanics, automotive, aerospace and it and digital solutions industries.  join and design your future! requirements  allow yourself to exceed your limits and bring with you:  currently enrolled in a bachelor&#39;s or recently completed from an accredited engineering university programme related to medtech, mechanics, automotive, aerospace and it and digital solutions industries.  desirable knowledge of languages such as java, c/c++ or python.  desirable knowledge of fundamentals like product-oriented design, algorithm design, data structures, and complexity analysis.  ability to effectively structure technical challenges and solutions.  outstanding creativity, solid team-based culture, and good communication skills.  willing to learn from others, self-motivated to perform simple or complex tasks.  proficient in written and verbal communication in english.  be able to work with the well-known fika brakes.  about the company  we are offering more than just an internship. we help you to build a new exciting experience in one of the world&#39;s most innovative and technologically developed countries.&#160; our client has more than 30 years of experience, dedicated to developing digital products and solutions for startups and global groups within the medtech, automotive, aerospace and it and digital solutions industries, with the desire to make our world a better and more sustainable place for all.  do you feel ready to become part of an experienced and innovative company with reliable performance in the real world? do you want to make a difference for real and challenge yourself? this is your opportunity to gain professional experience in a constantly innovating company and country and do your part to improve the world.",https://sa.jooble.org/desc/-7052523589385402691
3,general internship opportunity,,khobar,job description   3 months internship opportunity for bachelor students who are expected to graduate during 2023.,https://sa.jooble.org/desc/-550675671923967780
4,coop internship (stem),general electric ge gas power,eastern province,"job description summary  job description summary  ge gas power  welcome to tomorrow&#39;s energy—today! access to affordable, reliable, flexible, and sustainable power is fundamental to modern life. as the world is shifting towards a lower carbon future, ge gas power is ready to be your partner in leveraging the role of natural gas for powering the world today and tomorrow. ge’s foundations were laid by thomas edison nearly 130 years ago to provide innovative solutions for a wide range of critical problems around the world. ge’s deep-rooted culture serves as the backbone for every step we’ve taken at ge gas power. with more than 300,000 employees and operations in over 170 countries, ge employees reflect both the local communities we serve and the people with whom we do business.  diversity at ge  we believe diversity makes us more competitive and creates value for our customers, shareholders, and employees. we believe in the value of each person’s unique identity, background, and experiences and are committed to fostering an inclusive culture, where everyone feels empowered to do their best work because they feel accepted, respected, and that they belong. by embracing diverse teams and perspectives, we are better equipped to build a world that works.  our approach to diversity will be based on the following objectives: • our employees – to continue to strive to ensure that our workforce is as diverse as the communities we serve, while always upholding the importance of merit. • our workplace – to foster an inclusive culture that recognizes employees’ unique needs, helps them reach their full potential, and nurtures their diverse talents. • our community – to strive for diversity in suppliers and partners and engage with the communities in which we operate to support diversity.  summary:  the ge internship program is an investment in young talents where ge trains students who meet the required criteria to perform their internship program in repair shop activities. program duration is up to 28 weeks. (up to 7 months) the program will develop the general skills of the intern with on the job knowledge and experience.  job description  essential responsibilities  during the program ge will provide assignments, projects &amp; tasks that is related to his/her major where he/ she can develop leadership capabilities, communication skills and introduce him/her to the work environment.  material engineer  assist in the development and implementation of the economic order quantity (eoq) and vendor management inventory (vmi) to reduce gemtec inventory.  responsible for material scheduling for components and plastics and main contact to track raw material readiness, updating database, editing routines documents, procurement follow up and expediting management.  indirectly manage the store team.  responsible about the lean projects in the department such as gr process and material withdrawal, physically and to automate the system  systemize grinders repair and implement preventive maintenance on them  quality engineer  leading quality activities to enhance the culture  managing the quality newsletter  implement the visual aid at inspection station with standardization  improve the job folder archiving process  analyze data and lead q improvement projects  validate and audit process implementation as part of q walk and workstation audit  continues improvement engineer  develop lean lines  using lean tools time study , analyze process waste, areas to improve perform root cause analysis (use tools like 8d, 5why, fish bone etc.) support lean leader to analyze / gather data from various component using sap, tableau etc.  site it  owns wing-to-wing execution of technical projects to deliver high quality outcomes to internal and external customers. partners with functional product owner to define features backlog and requirements, works with technical team internal and external to the initiative to ensure outcomes delivery on time, within scope and budget and of desired quality. makes sure project management practices are followed and improved as needed.&#160; manages expectations and timelines to keep customers informed, working across teams in a regularly way.  work cross-functionally to manage factory priorities, issues and translating the demand, through lean / kanban principles, to features and functions that need to be delivered across the it matrix and it platforms to improve factory performance. including, but not limited to it/ot infrastructure, shop floor support, operations technology, mes, erp, quality tools, and materials/warehouse mgmt.  ensures business critical information is cascaded to the team in a timely manner.  participate in lean action workouts to ensure that physical changes to material flow is represented in the supporting systems and that new capabilities are developed in concert with the lean transformation.  act as a first line internal customer to ensure that global and local priorities are considered when ‘catching’  products/programs/projects  delivered or led by external it teams  as a partner to application owners, vendors, and appops leaders, ensure that the tools that ‘run’ the manufacturing plant are effectively supported, including but not limited to: - daily trouble-shooting of critical issues - collaborate with the regional deployment leader to drive the provisioning and operationalization of hardware, it/ot changes, new 3rd party software.  operations  leading lean initiatives across the cell.  job cost review – hours data analysis, leading continuous improvement projects, time study and kaizan projects implementation.  supporting engineering team on work instructions, preparing visual aids, quality form and supporting engineering projects.  leading 5s initiatives.  supporting first pass yield (fpy) from cell , collecting/analyzing operator performance.  cell utilization review.  lean line supporting projects.  quality forms improvements.  drive and execute vcp projects by working closely with me’s and rtoce engineers  tracking and maintaining productivity initiatives.  lean line – data analysis for both s1n and shrouds.  build bowler data / update the progress on daily basis  perform kaizen projects  lead supermarket consumables projects.  perform detail 5whys for s1n /shrouds underperformance .  qualifications/requirements  : &#183; students in engineering – industrial, production, mechanical, or electrical , &quot;stem major ( science , technology , engineering and math) or related engineering back ground &#183; program duration is up to 28 weeks (up to 6 months). &#183; active listener with good communication skills in english. &#183; strong proficiency in microsoft office applications. &#183; proactive with high level of integrity. &#183; strives to achieve project goals and customer satisfaction. &#183;&#160; a team player with the ability to communicate effectively with crosses functional teams. &#183; displays willingness to work in harsh environments on as needed basis  desired characteristics: •&#160; demonstrated ehs and quality focus. • demonstrated leadership potential •&#160; record of achievement with a passion to achieve positive business results •&#160; curiosity and desire to learn and expand skill set •&#160; adaptable and open to change",https://sa.jooble.org/desc/4481461722470837168
5,"internship, islamic development bank",,jeddah,"department:isdb has a variety of opportunities that will provide you with a unique experience and challenge working in the development banking. an internship&#160;with isdb is an excellent way to gain practical work experience, learn about your prospective career, and network with&#160;professionals from all over the world. most&#160;importantly the&#160;isdb internship&#160;gives you the opportunity to help others achieve acceptable standards of living and social conditions.the purpose of the isdb internship is to provide students from colleges, universities and similar academic institutions with the opportunity to engage in an active learning environment and obtain practical experience to complement their academic learning.&#160;eligibility:for internship, the applicant should:be a full-time bachelors or masters student from an accredited university/college.a minimum grade average:b+ according to the american academic system or 3 out of 4 gpa.good according to the arabic education system.lower second class honours according to the british system.assez bien according to the french system.have an official request from the university/college specifying the need for internship and endorsed by the university registrar/ graduate council.have good command of the english language (written and verbal).have no previous internship at isdb and its affiliates.for co-op, the applicant should:&#160;be a full-time a bachelors or masters student from an accredited university/college.a minimum grade average:b+ according to the american academic system or 3 out of 4 grades.good according to the arabic education system.lower second class honours according to the british system.assez bien according to the french system.have an official request from the university specifying the need for the co-op.have good command of the english language (written and verbal).be able to conduct a 10-15 minute presentation about their experience at isdb and what they have learned.&#160;have no previous co-op experience at isdb and its affiliates.the program accepts both local and international applicants.local applicants: they are the applicants who hold national id or residence permit of the host country. international applicants: they are the applicants who are pursuing their studies outside the host country and hold a residence permit or do not require a visa to the host country. travel/transportation, housing, medical&#160;and accommodation not provided.program duration:internship: a learning opportunity provided to full-time bachelor and post-grad students with a maximum of 3 (three) months.follow the links below to visit the original job announcement and details. ensure you follow the specified instructions, keeping note of the deadline.&#160;you can also tap the second button to learn more about this organisation and its mission. these links will take you to the employer/hiring organisation&#39;s website.&#160;please be sure to indicate that you saw this position via wian.",https://sa.jooble.org/jdp/2510033160622303711/Internship%2C-Islamic-Development-Bank-Jeddah
6,internship officer,zara services,riyadh,"internship  job summary  we are hiring now! are you an young talented student? become a paid marketing intern!  description:  12th std students of cbse, hsc, icse, ise, uk or pakistan board.  duration of internship: 3 to 6 months (extendable up to 12 months)  internship certificate will be provided.  fixed monthly stipend will be provided during internship term. additional income of attractive incentives for best performers.  chance to win the lacc leadership award.  interested candidates should send their cvs",https://sa.jooble.org/desc/-1242829326543898720
7,business development internship,yomn,jeddah,partially leading the business development cycle from qualification of leads &amp; opportunities to reporting to senior management  researching business opportunities and providing information on new markets or solutions to top management.  identifying potential leads by researching multiple industries and competition.  participating in networking activities with other businesses to promote solutions and services.  providing support to internal teams by answering questions about solutions and services offered by the company.  conducting market research to identify new opportunities for growth in the local market or regional.,https://sa.jooble.org/desc/8032481837954110330
8,ux/ui internship,resal,jeddah,"are &#160; you seeking an opportunity to make a real difference in a company that values innovation and progress? join us and become part of a team of people who will challenge and inspire you! this internship is designed to enable undergraduates and fresh graduates to gain hands-on work experience as the foundation of their professional lives.  we are looking for:&#160; ux/ui intern that is able to conduct ux research and analyze the data, identifying consumer behaviors and trends. they make recommendations and provide strategies and enhancements based on their research to provide a simpler, easier user experience to the customer. ux/ui intern will also be designing product features depending on the provider research or product requirements.  responsibilities:&#160;1- conduct ux research and collects customer feedback. 2- evaluates product designs and forecasts performance. 3- provides recommendations on product strategies and enhancements. 4- generates reports and presentations on results findings and convince the team to work on it. 5- monitors &amp; analyze customer behavior. 6- analyzes market data, trends, and behaviors.  requirements  saudi nationals  good interpersonal skills to persuade, influence and adapt communication style to different situations and individuals.  fluency in english &amp; arabic.  able to learn on the job in a rapidly changing environment.  love working in a multicultural and diverse environment.  bachelor’s degree in graphic design, arts, marketing or related field  program length: 12 weeks  selection process: candidates meeting our requirements will be enrolled in several selection activities, to help us fairly and objectively find the best of the best! employment opportunity: at the end of this program, interns who will position themselves as vital members of the team will be given the chance to continue their career journey with us.  benefits  responsibilities as of day 1&#160;– you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities  recognized business skills &#160;–&#160; you get to test your business knowledge and management abilities in real-life situations and obtain insights into the world of consumer &amp; business management.  continuous coaching &amp; mentoring –&#160; you will work with hardworking people and receive both formal training as well as day-to-day mentoring from your manager, likely a team leader.  dynamic and encouraging work environment &#160;–&#160; employees are at the core; we value every individual and encourage initiatives promoting agility and work/life balance.",https://sa.jooble.org/desc/6098295250947761345
9,2023 program manager - mba internship,"amazon.com, inc",riyadh,"description  we’re on the lookout for the curious, those who think big and want to define the world of tomorrow. at amazon, you will grow into the high impact, visionary person you know you’re ready to be. every day will be filled with exciting new challenges, developing new skills, and achieving personal growth.  how often can you say that your work changes the world? at amazon, you’ll say it often. join us and define tomorrow. • at amazon, you will define your goals, exceed them, and set new ones. • if you’re insatiably curious and always want to learn more, then you’ve come to the right place. • we continuously grow and improve. • we want to you to feel welcomed, included and valued right from the start. we know that your experiences will help us build a better world. • though we&#39;re a global company comprised of diverse individuals, we unite around our pursuit of to deliver on behalf of our customers. • our primary purpose is to make our customers’ lives easier. your work will contribute to that purpose. here, your voice and ideas can produce the breakthroughs. • we think ahead and put long-term value over short-term wins. we believe in investing in your future. • we want you to be the best version of yourself – to continuously evolve and improve. • with us, you’ll get good at making fast decisions, taking calculated risks and fearlessly chasing excellence. • we make the impossible, possible. • we aim for the ultimate simplicity to make customers’ lives easier. that’s why we need people who are innovators and disruptors. people who dive deep and think big.  key job responsibilities  lead programs throughout all phases of the project lifecycle, effectively managing scope, schedule and budget and stakeholder communications  collaborate and partner with business teams to define and solve problems that impact customers  identify causes of business related problems and implement novel approaches related to forecasting and prediction  identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations  use project management tools and technology to track progress and provide regular reporting to management and other stakeholders  about the team  if you’re insatiably curious and always want to learn more, then you’ve come to the right place. depending on your location, country, job status and other requirements, some or all of the following benefits may be available to you as an intern. • competitive pay • impactful project and internship/role deliverables • hybrid working (team dependent)• networking opportunities with fellow interns • internships events such as speaker series, intern panels, leadership principles sessions, amazon writing skills sessions. • mentorship and career development  if you’re successful during your internship, you could be considered for a graduate role after finishing your university studies  internship start dates vary throughout the year(2023).  internship length can vary between (3 months to 6 months) basic qualifications  in final year of study for a mba or master’s degree, or graduated in the last six months 3+ years of full-time industry work experience  fluent written and verbal communication in english",https://sa.jooble.org/desc/-4704086252723082053
10,mars internship experience,mars,jeddah,"are you dreaming about getting first-hand experience of working in the one of the biggest fmcg companies in the world? do you have aspiration to do digital transformations and drive data led solutions to the business problems? the mars internship experience (mie) - is a great start. at mars you’ll grow beyond your current aspirations and develop the whole you!     how the program works? we have multiple positions across sales, marketing, finance, manufacturing- engineering, commercial, and supply chain, which will be for a duration of 6months.  you will be mentored by line managers and interacting with senior leaders who will help you develop on personal and functional development.    what will you get? we have an ongoing commitment to your growth and development. you will get - regular catch ups with your mentor support from an amazing community of graduate from senior leaders of our saudi business, valuable trainings, competitive salary and opportunities to meet with some of mars most senior leaders.    what are we looking for?   graduates who are passing out from campus this year december or early next year. we are open to graduates and postgraduates. our internships are around driving digital transformations and data led solutions. anyone who is interested in project management, have the interest and skillset to provide creative ideas and solutions for the transformation can apply.    what does the future hold?&#160; this program is set for you to manage project independently. these projects are directly linked to our organization real needs and we want the recommendations and results of your work developed during the internship, to have an impact on the functioning and results of our business.    could you be our future mars intern?  you have high ambition and want to become a leader. you have good leadership skills and a strong interest in positions across sales, marketing, finance, manufacturing- engineering, commercial, and supply chain. you are not afraid to challenge the status quo and bring a fresh viewpoint. you want to grow as a person. you are adaptable and like to join our family owned business as an intern and shape a more prosperous future - for your community, for the planet and for yourself. from the moment you come aboard you&#39;ll find endless opportunities to pursue your passions, take on new challenges and explore our diverse business.    internship locations:    jeddah and king abdullah economic city",https://sa.jooble.org/desc/4859080738878399982
